💚2024中秋晚会多线,#genre#
梨园频道,http://home.js001.com:7777/stream/channelid/782734182?profile=pass
翡翠台,http://i2.ekesh.cn:4001/rtp/239.12.22.121:10001
明珠台,http://i2.ekesh.cn:4001/rtp/239.12.22.122:10001
新视觉,http://i2.ekesh.cn:4001/rtp/239.12.22.33:10001
南国都市4K,http://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=140110ae3d6c936a77f94c4f4d85b0d3&txTime=18d57929bd4
大湾区卫视,http://58.254.14.34:808/hls/51/index.m3u8
大湾区卫视,http://gmxw.7766.org:808/hls/132/index.m3u8
大湾区卫视,http://183.11.239.36:808/hls/132/index.m3u8
大湾区卫视,http://120.237.241.82:4000/rtp/239.77.0.215:5146
大湾区卫视,http://mryx.fun:1025/udp/239.11.0.78:1025
大湾区卫视,http://120.234.49.37:7000/udp/239.21.0.84:3676
广东珠江,http://58.254.14.34:808/hls/55/index.m3u8


💚4K频道&数字,#genre#
北京纪实科教8K,http://111.31.106.140/downflv.brtvcloud.com/8klive/8kliveok.m3u8
自然4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
峨眉电影,http://syswareonline.com:7088/udp/239.11.0.11:5140
欢笑剧场4K,http://www.syl88.online:8123/PLTV/88888888/224/3221225895/10000100000000060000000001580154_0.smil/index.m3u8?fmt=ts2hls&zoneoffset=480&servicetype=2&icpid=shlt&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EW3Xq0MWMUhrj9Wm313LoIA%7EO5gHFZXfEEx5kArqrWyLxJImY9Cz0FiG9s_8lX6EBsJruzJR2G4-aEY00UAxuQ6Prwdck4E0flhSWqASa7AbZgdeMh8HiWEFIiD7BDx7HtU%7EExtInfo24S_eFPZ-q3aI4rQpB83xQ%3A20231014195510%2C41022%2C%2C20231014195510%2CUmai%3ACHAN%2F6000048%40BESTV.SMG.SMG%2C41022%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2C%2C10000100000000060000000001580154_0%2CEND
CCTV4K超高清,http://bjuni.iptv.im2k.com:5018/rtp/239.3.1.245:2000
CCTV4K超高清,http://cqcbn1.live.cbncdn.cn:8090/__cl/cg:live/__c/CCTV4K/__op/default/__f/index.m3u8
CCTV4K超高清,http://i2.ekesh.cn:4001/rtp/239.12.22.66:10001
CCTV4K超高清,http://123.113.236.69:8012/rtp/239.3.1.245:2000
BesTV电影4K,http://www.17888.fun:10000/udp/239.45.3.107:5140
百事通电影4K,http://dns.161015.xyz:33334/rtp/239.45.1.42:5140
百事通纪实4K,http://dns.161015.xyz:33334/rtp/239.45.1.10:5140
百事通儿童4K,http://dns.161015.xyz:33334/rtp/239.45.1.1:5140
求索动物,http://home.isvvv.com:5050/itv/wasusyt/6000000002000010046
求索纪录,http://home.isvvv.com:5050/itv/wasusyt/6000000002000032052
求索科学,http://home.isvvv.com:5050/itv/wasusyt/6000000002000032344
求索生活,http://home.isvvv.com:5050/itv/wasusyt/6000000002000003382
IHOT爱谍战,http://home.isvvv.com:5050/itv/wasusyt/6000000006000070630
IHOT爱动漫,http://home.isvvv.com:5050/itv/wasusyt/6000000006000280630
IHOT爱科幻,http://home.isvvv.com:5050/itv/wasusyt/6000000006000020630
IHOT爱科学,http://home.isvvv.com:5050/itv/wasusyt/6000000006000160630
IHOT爱浪漫,http://home.isvvv.com:5050/itv/wasusyt/6000000006000040630
IHOT爱历史,http://home.isvvv.com:5050/itv/wasusyt/6000000006000150630
IHOT爱旅行,http://home.isvvv.com:5050/itv/wasusyt/6000000006000250630
IHOT爱奇谈,http://home.isvvv.com:5050/itv/wasusyt/6000000006000270630
IHOT爱赛车,http://home.isvvv.com:5050/itv/wasusyt/6000000006000240630
IHOT爱体育,http://home.isvvv.com:5050/itv/wasusyt/6000000006000290630
IHOT爱玩具,http://home.isvvv.com:5050/itv/wasusyt/6000000006000220630
IHOT爱喜剧,http://home.isvvv.com:5050/itv/wasusyt/6000000006000010630
IHOT爱悬疑,http://home.isvvv.com:5050/itv/wasusyt/6000000006000050630
IHOT爱幼教,http://home.isvvv.com:5050/itv/wasusyt/6000000006000180630
IHOT爱院线,http://home.isvvv.com:5050/itv/wasusyt/6000000006000030630

💚通用网络ipv6,#genre#
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://cg2.hunancatv.cn:9090/live/CCTV3_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=1503359536340111081&srchost=172.16.22.158:8060&gid=Qbtt%2FCKbgL%2BLEf0MZG39hA%3D%3D
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8
CCTV4,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8
CCTV5+,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8
CCTV6,http://cg2.hunancatv.cn:9090/live/CCTV6_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604313525&srchost=172.16.22.158:8060&gid=V3LTBBfcYZulwh7V0sv5AQ%3D%3D
CCTV7,http://cg12.hunancatv.cn:9090/live/CCTV7_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604329661&srchost=172.16.22.158:8060&gid=eFqmKmi9go09HRyf6VKwAw%3D%3D
CCTV7,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/index.m3u8
CCTV7,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226008/index.m3u8
CCTV8,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://cg12.hunancatv.cn:9090/live/CCTV9_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604329766&srchost=172.16.22.158:8060&gid=U7%2BVGAF84QxZywxmiS%2FHeQ%3D%3D
CCTV9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8
CCTV10,http://cg5.hunancatv.cn:9090/live/CCTV10_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604329885&srchost=172.16.22.158:8060&gid=Gk0HzCG8BXiSrBmHRSwyug%3D%3D
CCTV11,http://cg11.hunancatv.cn:9090/live/CCTV-11_2000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604330272&srchost=172.16.22.158:8060&gid=hbuKVaSO%2BKICjuNGP%2BRDKw%3D%3D
CCTV11,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
CCTV12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV12,http://cg5.hunancatv.cn:9090/live/CCTV12_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604330421&srchost=172.16.22.158:8060&gid=OmtDC3eYy9sWVadN8dzkIw%3D%3D
CCTV13,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002179/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV14,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV15,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV15,http://cg0.hunancatv.cn:9090/live/CCTV-15_2000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604330647&srchost=172.16.22.158:8060&gid=wVe7da5Clx2OXnh1HZiivw%3D%3D
CCTV16,http://cg1.hunancatv.cn:9090/live/CCTV16_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=7114844658870775790&srchost=172.16.22.158:8060&gid=VUdUekIjmBFSrvnJArQETQ%3D%3D
CCTV16,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV16,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV17,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8
CCTV17,http://cg1.hunancatv.cn:9090/live/CCTV17_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=11082234455604330031&srchost=172.16.22.158:8060&gid=ZZpW6kjLlI21prSal24AuA%3D%3D
CCTV1,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226153/index.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000001/index.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000501/index.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002133/index.m3u8
CCTV2,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002135/index.m3u8
CCTV3,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000003/index.m3u8
CCTV4,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226539/index.m3u8
CCTV4,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226652/index.m3u8
CCTV4,http://[2409:8087:74F1:0021::0009]:80/270000001128/9900000503/index.m3u8
CCTV5,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226146/index.m3u8
CCTV5,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000005/index.m3u8
CCTV5,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010145/1.m3u8
CCTV5+,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000507/index.m3u8
CCTV5+,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002139/index.m3u8
CCTV6,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226148/index.m3u8
CCTV6,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000006/index.m3u8
CCTV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8
CCTV7,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226432/index.m3u8
CCTV7,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000504/index.m3u8
CCTV7,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002141/index.m3u8
CCTV8,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226150/index.m3u8
CCTV8,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000008/index.m3u8
CCTV9,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226434/index.m3u8
CCTV9,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000505/index.m3u8
CCTV9,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002144/index.m3u8
CCTV10,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226164/index.m3u8
CCTV10,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000506/index.m3u8
CCTV10,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002146/index.m3u8
CCTV11,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226541/index.m3u8
CCTV11,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000508/index.m3u8
CCTV12,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226436/index.m3u8
CCTV12,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000509/index.m3u8
CCTV12,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002147/index.m3u8
CCTV13,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226438/index.m3u8
CCTV13,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000510/index.m3u8
CCTV14,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226166/index.m3u8
CCTV14,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000511/index.m3u8
CCTV14,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002148/index.m3u8
CCTV15,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226616/index.m3u8
CCTV15,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000512/index.m3u8
CCTV15,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002181/index.m3u8
CCTV16,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226413/index.m3u8
CCTV16,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000016/index.m3u8
CCTV17,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000513/index.m3u8
CETV1,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000046/index.m3u8
CETV2,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000071/index.m3u8
CETV4,http://[2409:8087:74F1:0021::0008]:80/000000001000PLTV/88888888/224/3221226279/index.m3u8
CETV4,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000072/index.m3u8
CGTN,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000063/index.m3u8
CGTN,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002182/index.m3u8
CGTN阿拉伯语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000086/index.m3u8
CGTN俄语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000085/index.m3u8
CGTN法语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000087/index.m3u8
CGTN纪录,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000062/index.m3u8
CGTN西班牙语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000088/index.m3u8
NewTv金牌综艺,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
NewTv超级综艺,http://[2409:8087:1a01:df::401a]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTv欢乐剧场,http://[2409:8087:1a01:df::4021]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
NewTv家庭剧场,http://[2409:8087:1a01:df::4014]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
NewTv军旅剧场,http://[2409:8087:1a01:df::4017]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8
NewTv明星大片,http://[2409:8087:1a01:df::401e]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
NewTv中国功夫,http://[2409:8087:1a01:df::401f]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
